,,,"American Association of Individual Investors 625 N. Michigan Ave., Chicago, IL. 60611; (312) 280-0170; www.aaii.com",,,,,,,,,
9-3-98,23.0%,37.0%,40.0%,100%,30.50%,-17.0%,37.9%,48.0%,27.9%,"1,033.47",939.98,973.89
9-10-98,29.0%,31.0%,40.0%,100%,29.75%,-11.0%,37.9%,48.0%,27.9%,"1,027.72",968.64,"1,009.06"
9-17-98,34.0%,35.0%,31.0%,100%,29.38%,3.0%,37.9%,48.0%,27.9%,"1,046.07","1,009.06","1,020.09"
9-24-98,34.0%,38.0%,28.0%,100%,28.13%,6.0%,37.9%,48.0%,27.9%,"1,066.11",993.82,"1,044.75"
10-1-98,32.0%,35.0%,33.0%,100%,28.38%,-1.0%,37.9%,48.0%,27.9%,"1,061.46",971.65,"1,002.60"
10-8-98,25.0%,43.0%,32.0%,100%,28.13%,-7.0%,37.9%,48.0%,27.9%,"1,008.77",923.32,984.39
10-15-98,25.0%,34.0%,41.0%,100%,28.13%,-16.0%,37.9%,48.0%,27.9%,"1,062.65",984.39,"1,056.42"
10-22-98,32.0%,35.0%,33.0%,100%,29.25%,-1.0%,37.9%,48.0%,27.9%,"1,084.06","1,054.23","1,070.67"
10-29-98,43.0%,36.0%,21.0%,100%,31.75%,22.0%,37.9%,48.0%,27.9%,"1,103.78","1,059.66","1,098.67"
11-5-98,38.0%,42.0%,20.0%,100%,32.88%,18.0%,37.9%,48.0%,27.9%,"1,141.30","1,098.67","1,141.01"
11-12-98,50.0%,36.0%,14.0%,100%,34.88%,36.0%,37.9%,48.0%,27.9%,"1,141.01","1,115.55","1,125.72"
11-19-98,40.0%,42.0%,18.0%,100%,35.63%,22.0%,37.9%,48.0%,27.9%,"1,163.55","1,125.72","1,163.55"
11-25-98,48.0%,35.0%,17.0%,100%,37.63%,31.0%,37.9%,48.0%,27.9%,"1,192.97","1,163.55","1,192.33"
12-3-98,49.0%,30.0%,21.0%,100%,40.63%,28.0%,37.9%,48.0%,27.9%,"1,192.72","1,150.14","1,176.74"
12-10-98,44.0%,30.0%,26.0%,100%,43.00%,18.0%,37.9%,48.0%,27.9%,"1,193.53","1,153.19","1,166.46"
12-17-98,41.0%,34.0%,25.0%,100%,44.13%,16.0%,37.9%,48.0%,27.9%,"1,188.89","1,136.89","1,188.03"
12-23-98,34.0%,34.0%,32.0%,100%,43.00%,2.0%,37.9%,48.0%,27.9%,"1,229.89","1,188.03","1,226.27"
12-31-98,41.0%,37.0%,22.0%,100%,43.38%,19.0%,37.9%,48.0%,27.9%,"1,244.93","1,200.78","1,229.23"
1-7-99,38.0%,39.0%,23.0%,100%,41.88%,15.0%,37.9%,48.0%,27.9%,"1,278.24","1,219.10","1,275.09"
1-14-99,51.0%,28.0%,21.0%,100%,43.25%,30.0%,37.9%,48.0%,27.9%,"1,276.22","1,205.46","1,243.26"
1-21-99,56.0%,24.0%,20.0%,100%,44.25%,36.0%,37.9%,48.0%,27.9%,"1,274.07","1,217.97","1,225.19"
1-28-99,47.0%,33.0%,20.0%,100%,44.00%,27.0%,37.9%,48.0%,27.9%,"1,280.37","1,219.40","1,279.64"
2-4-99,48.0%,38.0%,14.0%,100%,44.50%,34.0%,37.9%,48.0%,27.9%,"1,283.75","1,232.28","1,239.40"
2-11-99,48.0%,35.0%,17.0%,100%,45.38%,31.0%,37.9%,48.0%,27.9%,"1,254.05","1,211.89","1,230.13"
2-18-99,37.0%,39.0%,24.0%,100%,45.75%,13.0%,37.9%,48.0%,27.9%,"1,252.17","1,220.70","1,239.22"
2-25-99,37.0%,39.0%,24.0%,100%,45.25%,13.0%,37.9%,48.0%,27.9%,"1,283.84","1,225.01","1,238.33"
3-4-99,36.0%,45.0%,19.0%,100%,45.00%,17.0%,37.9%,48.0%,27.9%,"1,275.73","1,216.03","1,275.47"
3-11-99,37.0%,42.0%,21.0%,100%,43.25%,16.0%,37.9%,48.0%,27.9%,"1,306.43","1,271.58","1,294.59"
3-18-99,48.0%,31.0%,21.0%,100%,42.25%,27.0%,37.9%,48.0%,27.9%,"1,323.82","1,291.03","1,299.29"
3-25-99,38.0%,33.0%,29.0%,100%,41.13%,9.0%,37.9%,48.0%,27.9%,"1,303.84","1,256.43","1,282.80"
4-1-99,40.0%,35.0%,25.0%,100%,40.13%,15.0%,37.9%,48.0%,27.9%,"1,313.60","1,282.56","1,293.72"
4-8-99,36.0%,38.0%,26.0%,100%,38.63%,10.0%,37.9%,48.0%,27.9%,"1,351.22","1,293.72","1,348.35"
4-15-99,41.0%,31.0%,28.0%,100%,39.13%,13.0%,37.9%,48.0%,27.9%,"1,362.10","1,308.38","1,319.00"
4-22-99,38.0%,32.0%,30.0%,100%,39.25%,8.0%,37.9%,48.0%,27.9%,"1,363.65","1,284.21","1,356.85"
4-29-99,41.0%,32.0%,27.0%,100%,39.88%,14.0%,37.9%,48.0%,27.9%,"1,371.56","1,314.58","1,335.18"
5-6-99,54.0%,32.0%,14.0%,100%,42.00%,40.0%,37.9%,48.0%,27.9%,"1,354.64","1,317.44","1,345.00"
5-13-99,43.0%,31.0%,26.0%,100%,41.38%,17.0%,37.9%,48.0%,27.9%,"1,375.98","1,332.63","1,337.80"
5-20-99,43.0%,31.0%,26.0%,100%,42.00%,17.0%,37.9%,48.0%,27.9%,"1,350.49","1,321.19","1,330.29"
5-27-99,38.0%,42.0%,20.0%,100%,41.75%,18.0%,37.9%,48.0%,27.9%,"1,333.02","1,277.31","1,301.84"
6-3-99,32.0%,36.0%,32.0%,100%,41.25%,0.0%,37.9%,48.0%,27.9%,"1,327.75","1,277.47","1,327.75"
6-10-99,32.0%,40.0%,28.0%,100%,40.13%,4.0%,37.9%,48.0%,27.9%,"1,336.42","1,287.88","1,293.64"
6-17-99,38.0%,35.0%,27.0%,100%,40.13%,11.0%,37.9%,48.0%,27.9%,"1,344.48","1,292.20","1,342.84"
6-24-99,30.0%,39.0%,31.0%,100%,38.75%,-1.0%,37.9%,48.0%,27.9%,"1,351.12","1,308.47","1,315.31"
7-1-99,35.0%,38.0%,27.0%,100%,36.38%,8.0%,37.9%,48.0%,27.9%,"1,391.22","1,315.31","1,391.22"
7-8-99,43.0%,36.0%,21.0%,100%,36.38%,22.0%,37.9%,48.0%,27.9%,"1,405.29","1,384.95","1,403.28"
7-15-99,54.0%,28.0%,18.0%,100%,37.75%,36.0%,37.9%,48.0%,27.9%,"1,418.78","1,386.51","1,418.78"
7-22-99,55.0%,23.0%,22.0%,100%,39.88%,33.0%,37.9%,48.0%,27.9%,"1,420.33","1,349.91","1,356.94"
7-29-99,42.0%,38.0%,20.0%,100%,41.13%,22.0%,37.9%,48.0%,27.9%,"1,370.39","1,328.49","1,328.72"
8-5-99,30.0%,46.0%,24.0%,100%,40.88%,6.0%,37.9%,48.0%,27.9%,"1,344.69","1,287.23","1,300.29"
8-12-99,30.0%,40.0%,30.0%,100%,39.88%,0.0%,37.9%,48.0%,27.9%,"1,327.72","1,267.73","1,327.68"
8-19-99,31.0%,46.0%,23.0%,100%,40.00%,8.0%,37.9%,48.0%,27.9%,"1,344.16","1,315.35","1,336.61"
8-26-99,35.0%,40.0%,25.0%,100%,40.00%,10.0%,37.9%,48.0%,27.9%,"1,382.84","1,336.61","1,348.27"
9-2-99,44.0%,38.0%,18.0%,100%,40.13%,26.0%,37.9%,48.0%,27.9%,"1,357.74","1,304.88","1,357.24"
9-9-99,37.0%,38.0%,25.0%,100%,38.00%,12.0%,37.9%,48.0%,27.9%,"1,361.35","1,333.94","1,351.66"
9-16-99,36.0%,43.0%,21.0%,100%,35.63%,15.0%,37.9%,48.0%,27.9%,"1,351.66","1,317.97","1,335.42"
9-23-99,36.0%,36.0%,28.0%,100%,34.88%,8.0%,37.9%,48.0%,27.9%,"1,338.38","1,263.84","1,277.36"
9-30-99,35.0%,42.0%,23.0%,100%,35.50%,12.0%,37.9%,48.0%,27.9%,"1,295.03","1,256.26","1,282.81"
10-7-99,34.0%,38.0%,28.0%,100%,36.00%,6.0%,37.9%,48.0%,27.9%,"1,336.61","1,282.81","1,336.02"
10-14-99,42.0%,39.0%,19.0%,100%,37.38%,23.0%,37.9%,48.0%,27.9%,"1,344.26","1,245.44","1,247.41"
10-21-99,38.0%,37.0%,25.0%,100%,37.75%,13.0%,37.9%,48.0%,27.9%,"1,303.81","1,233.70","1,301.65"
10-28-99,38.0%,38.0%,24.0%,100%,37.00%,14.0%,37.9%,48.0%,27.9%,"1,373.17","1,280.48","1,362.93"
11-4-99,43.0%,35.0%,22.0%,100%,37.75%,21.0%,37.9%,48.0%,27.9%,"1,387.48","1,346.41","1,370.23"
11-11-99,48.0%,26.0%,26.0%,100%,39.25%,22.0%,37.9%,48.0%,27.9%,"1,396.12","1,359.98","1,396.06"
11-18-99,46.0%,32.0%,22.0%,100%,40.50%,24.0%,37.9%,48.0%,27.9%,"1,425.31","1,392.28","1,422.00"
11-24-99,55.0%,28.0%,17.0%,100%,43.00%,38.0%,37.9%,48.0%,27.9%,"1,425.25","1,399.18","1,416.62"
12-2-99,62.0%,25.0%,13.0%,100%,46.50%,49.0%,37.9%,48.0%,27.9%,"1,447.54","1,386.95","1,433.30"
12-9-99,62.0%,27.0%,11.0%,100%,49.00%,51.0%,37.9%,48.0%,27.9%,"1,434.19","1,391.47","1,417.04"
12-16-99,54.0%,26.0%,20.0%,100%,51.00%,34.0%,37.9%,48.0%,27.9%,"1,431.13","1,396.20","1,421.03"
12-23-99,52.0%,31.0%,17.0%,100%,52.75%,35.0%,37.9%,48.0%,27.9%,"1,461.44","1,410.97","1,458.34"
12-30-99,60.0%,25.0%,15.0%,100%,54.88%,45.0%,37.9%,48.0%,27.9%,"1,473.10","1,450.83","1,469.25"
1-6-00,75.0%,11.7%,13.3%,100%,58.25%,61.7%,37.9%,48.0%,27.9%,"1,478.00","1,377.68","1,441.47"
1-13-00,59.3%,22.2%,18.5%,100%,59.91%,40.7%,37.9%,48.0%,27.9%,"1,473.00","1,427.08","1,465.15"
1-20-00,57.1%,25.0%,17.9%,100%,60.18%,39.3%,37.9%,48.0%,27.9%,"1,465.71","1,438.54","1,441.36"
1-27-00,53.7%,25.9%,20.4%,100%,59.14%,33.3%,37.9%,48.0%,27.9%,"1,454.09","1,356.20","1,360.16"
2-3-00,51.1%,24.4%,24.4%,100%,57.78%,26.7%,37.9%,48.0%,27.9%,"1,435.91","1,350.14","1,424.37"
2-10-00,41.9%,30.2%,27.9%,100%,56.26%,14.0%,37.9%,48.0%,27.9%,"1,444.55","1,378.89","1,387.12"
2-17-00,27.3%,48.5%,24.2%,100%,53.17%,3.0%,37.9%,48.0%,27.9%,"1,407.72","1,345.32","1,346.09"
2-24-00,41.4%,27.6%,31.0%,100%,50.84%,10.4%,37.9%,48.0%,27.9%,"1,370.11","1,329.15","1,333.36"
3-2-00,36.7%,40.0%,23.3%,100%,46.05%,13.3%,37.9%,48.0%,27.9%,"1,410.88","1,325.07","1,409.17"
3-8-00,58.3%,25.0%,16.7%,100%,45.93%,41.7%,37.9%,48.0%,27.9%,"1,413.46","1,346.62","1,395.07"
3-16-00,50.0%,23.3%,26.7%,100%,45.04%,23.3%,37.9%,48.0%,27.9%,"1,477.33","1,356.99","1,464.47"
3-23-00,65.7%,14.3%,20.0%,100%,46.54%,45.7%,37.9%,48.0%,27.9%,"1,552.87","1,446.06","1,527.46"
3-30-00,38.9%,11.1%,50.0%,100%,45.01%,-11.1%,37.9%,48.0%,27.9%,"1,534.63","1,474.63","1,498.58"
4-6-00,45.8%,33.3%,20.8%,100%,45.51%,25.0%,37.9%,48.0%,27.9%,"1,526.45","1,416.41","1,516.35"
4-13-00,51.9%,18.5%,29.6%,100%,48.58%,22.2%,37.9%,48.0%,27.9%,"1,527.19","1,339.40","1,356.56"
4-20-00,63.7%,13.7%,22.6%,100%,51.38%,41.2%,37.9%,48.0%,27.9%,"1,447.69","1,346.50","1,434.54"
4-27-00,61.3%,24.2%,14.5%,100%,54.45%,46.8%,37.9%,48.0%,27.9%,"1,482.94","1,407.13","1,452.43"
5-4-00,34.8%,30.4%,34.8%,100%,51.51%,0.0%,37.9%,48.0%,27.9%,"1,481.51","1,398.36","1,432.63"
5-11-00,30.2%,44.2%,25.6%,100%,49.04%,4.7%,37.9%,48.0%,27.9%,"1,432.63","1,375.14","1,420.96"
5-18-00,35.3%,23.5%,41.2%,100%,45.24%,-5.9%,37.9%,48.0%,27.9%,"1,470.40","1,401.74","1,406.95"
5-25-00,34.9%,28.6%,36.5%,100%,44.74%,-1.6%,37.9%,48.0%,27.9%,"1,411.65","1,361.09","1,378.02"
6-1-00,41.7%,20.8%,37.5%,100%,44.22%,4.2%,37.9%,48.0%,27.9%,"1,483.23","1,378.02","1,477.26"
6-8-00,61.5%,15.4%,23.1%,100%,45.43%,38.5%,37.9%,48.0%,27.9%,"1,477.28","1,454.74","1,456.95"
6-15-00,43.8%,37.5%,18.8%,100%,42.93%,25.0%,37.9%,48.0%,27.9%,"1,483.62","1,442.38","1,464.46"
6-22-00,26.7%,33.3%,40.0%,100%,38.61%,-13.3%,37.9%,48.0%,27.9%,"1,488.93","1,438.31","1,441.48"
7-6-00,56.1%,28.1%,15.9%,100%,41.27%,40.3%,37.9%,48.0%,27.9%,"1,467.63","1,434.63","1,454.60"
7-13-00,65.0%,15.0%,20.0%,100%,45.62%,45.0%,37.9%,48.0%,27.9%,"1,484.12","1,439.56","1,478.90"
7-20-00,66.7%,21.3%,12.0%,100%,49.54%,54.7%,37.9%,48.0%,27.9%,"1,509.99","1,470.48","1,509.98"
7-27-00,42.9%,37.1%,20.0%,100%,50.53%,22.9%,37.9%,48.0%,27.9%,"1,517.32","1,477.91","1,480.19"
8-3-00,41.3%,34.8%,23.9%,100%,50.49%,17.4%,37.9%,48.0%,27.9%,"1,485.88","1,413.89","1,419.89"
8-10-00,54.1%,34.4%,11.5%,100%,49.56%,42.6%,37.9%,48.0%,27.9%,"1,462.93","1,418.71","1,462.93"
8-17-00,59.4%,21.9%,18.8%,100%,51.51%,40.6%,37.9%,48.0%,27.9%,"1,490.33","1,453.06","1,471.84"
8-23-00,57.7%,19.2%,23.1%,100%,55.39%,34.6%,37.9%,48.0%,27.9%,"1,499.47","1,468.56","1,491.72"
8-31-00,55.9%,26.5%,17.7%,100%,55.36%,38.2%,37.9%,48.0%,27.9%,"1,513.47","1,489.52","1,506.45"
9-7-00,62.5%,29.2%,8.3%,100%,55.05%,54.2%,37.9%,48.0%,27.9%,"1,530.09","1,500.09","1,520.77"
9-14-00,41.2%,35.3%,23.5%,100%,51.86%,17.7%,37.9%,48.0%,27.9%,"1,520.77","1,489.88","1,494.50"
9-21-00,43.8%,37.5%,18.8%,100%,51.97%,25.0%,37.9%,48.0%,27.9%,"1,506.76","1,460.22","1,465.81"
9-28-00,53.3%,40.0%,6.7%,100%,53.48%,46.7%,37.9%,48.0%,27.9%,"1,467.77","1,421.88","1,448.72"
10-5-00,41.9%,32.3%,25.8%,100%,51.96%,16.1%,37.9%,48.0%,27.9%,"1,461.69","1,419.44","1,436.51"
10-12-00,41.5%,26.8%,31.7%,100%,49.72%,9.8%,37.9%,48.0%,27.9%,"1,454.82","1,397.06","1,408.99"
10-19-00,48.9%,26.7%,24.4%,100%,48.62%,24.5%,37.9%,48.0%,27.9%,"1,409.69","1,327.08","1,374.17"
10-26-00,64.1%,18.0%,18.0%,100%,49.64%,46.2%,37.9%,48.0%,27.9%,"1,408.47","1,305.79","1,396.93"
11-2-00,51.6%,25.8%,22.6%,100%,48.28%,29.0%,37.9%,48.0%,27.9%,"1,415.64","1,337.81","1,379.58"
11-9-00,62.9%,28.6%,8.6%,100%,50.99%,54.3%,37.9%,48.0%,27.9%,"1,433.40","1,376.86","1,426.69"
11-16-00,45.8%,37.5%,16.7%,100%,51.25%,29.2%,37.9%,48.0%,27.9%,"1,438.46","1,365.97","1,365.98"
11-23-00,36.5%,27.0%,36.5%,100%,49.15%,0.0%,37.9%,48.0%,27.9%,"1,395.96","1,328.62","1,367.72"
11-30-00,60.4%,22.9%,16.7%,100%,51.46%,43.8%,37.9%,48.0%,27.9%,"1,367.72","1,321.89","1,341.77"
12-7-00,47.1%,15.7%,37.3%,100%,52.16%,9.8%,37.9%,48.0%,27.9%,"1,362.50","1,294.90","1,315.23"
12-14-00,59.6%,7.7%,32.7%,100%,53.50%,26.9%,37.9%,48.0%,27.9%,"1,380.33","1,310.23","1,369.89"
12-21-00,31.1%,17.8%,51.1%,100%,49.38%,-20.0%,37.9%,48.0%,27.9%,"1,389.05","1,305.38","1,312.15"
12-28-00,40.0%,28.0%,32.0%,100%,47.93%,8.0%,37.9%,48.0%,27.9%,"1,346.44","1,254.07","1,305.95"
1-4-01,42.6%,33.3%,24.1%,100%,45.39%,18.5%,37.9%,48.0%,27.9%,"1,340.10","1,301.64","1,320.28"
1-11-01,35.7%,21.4%,42.9%,100%,44.13%,-7.2%,37.9%,48.0%,27.9%,"1,350.24","1,274.62","1,298.35"
1-18-01,36.6%,39.0%,24.4%,100%,44.14%,12.2%,37.9%,48.0%,27.9%,"1,333.21","1,276.29","1,318.55"
1-25-01,49.2%,24.6%,26.2%,100%,42.74%,23.1%,37.9%,48.0%,27.9%,"1,354.55","1,313.33","1,342.54"
2-1-01,50.0%,30.8%,19.2%,100%,43.11%,30.8%,37.9%,48.0%,27.9%,"1,369.75","1,333.84","1,354.95"
2-8-01,55.6%,30.0%,14.4%,100%,42.60%,41.1%,37.9%,48.0%,27.9%,"1,383.37","1,348.72","1,349.47"
2-15-01,30.4%,47.8%,21.7%,100%,42.51%,8.7%,37.9%,48.0%,27.9%,"1,363.55","1,309.98","1,314.76"
2-22-01,26.3%,35.1%,38.6%,100%,40.80%,-12.3%,37.9%,48.0%,27.9%,"1,336.62","1,293.18","1,301.53"
3-1-01,46.0%,20.3%,33.8%,100%,41.22%,12.2%,37.9%,48.0%,27.9%,"1,272.76","1,214.50","1,234.18"
3-8-01,31.6%,36.7%,31.6%,100%,40.71%,0.0%,37.9%,48.0%,27.9%,"1,267.42","1,228.42","1,233.42"
3-15-01,30.9%,32.7%,36.4%,100%,40.00%,-5.5%,37.9%,48.0%,27.9%,"1,233.42","1,148.64","1,150.53"
3-22-01,27.8%,25.0%,47.2%,100%,37.32%,-19.4%,37.9%,48.0%,27.9%,"1,180.56","1,081.19","1,139.83"
3-29-01,37.3%,35.3%,27.5%,100%,35.73%,9.8%,37.9%,48.0%,27.9%,"1,183.35","1,136.26","1,160.33"
4-5-01,35.1%,26.1%,38.7%,100%,33.18%,-3.6%,37.9%,48.0%,27.9%,"1,169.51","1,091.99","1,128.43"
4-12-01,30.3%,28.8%,40.9%,100%,33.16%,-10.6%,37.9%,48.0%,27.9%,"1,183.51","1,126.38","1,183.50"
4-19-01,43.8%,25.0%,31.3%,100%,35.34%,12.5%,37.9%,48.0%,27.9%,"1,253.71","1,167.38","1,242.98"
4-26-01,46.6%,22.4%,31.0%,100%,35.41%,15.5%,37.9%,48.0%,27.9%,"1,253.07","1,207.38","1,253.05"
5-3-01,63.5%,14.9%,21.6%,100%,39.40%,41.9%,37.9%,48.0%,27.9%,"1,272.93","1,232.00","1,266.61"
5-10-01,53.3%,28.9%,17.8%,100%,42.20%,35.6%,37.9%,48.0%,27.9%,"1,270.00","1,240.79","1,245.67"
5-17-01,51.8%,29.4%,18.8%,100%,45.20%,32.9%,37.9%,48.0%,27.9%,"1,296.48","1,241.02","1,291.96"
5-24-01,61.9%,21.4%,16.7%,100%,48.28%,45.2%,37.9%,48.0%,27.9%,"1,315.93","1,276.42","1,277.89"
5-31-01,49.4%,22.1%,28.6%,100%,50.06%,20.8%,37.9%,48.0%,27.9%,"1,278.42","1,245.96","1,260.67"
6-7-01,42.6%,31.9%,25.5%,100%,51.59%,17.0%,37.9%,48.0%,27.9%,"1,286.62","1,256.36","1,264.96"
6-14-01,30.5%,47.5%,22.0%,100%,49.93%,8.5%,37.9%,48.0%,27.9%,"1,264.96","1,203.03","1,214.36"
6-21-01,33.3%,43.3%,23.3%,100%,48.28%,10.0%,37.9%,48.0%,27.9%,"1,240.24","1,207.71","1,225.35"
6-28-01,30.4%,36.7%,32.9%,100%,44.14%,-2.5%,37.9%,48.0%,27.9%,"1,237.29","1,204.64","1,224.38"
7-5-01,40.7%,40.7%,18.5%,100%,42.57%,22.2%,37.9%,48.0%,27.9%,"1,239.78","1,188.74","1,190.59"
7-12-01,25.3%,38.5%,36.3%,100%,39.25%,-11.0%,37.9%,48.0%,27.9%,"1,218.54","1,168.46","1,215.68"
7-19-01,50.0%,34.8%,15.2%,100%,37.77%,34.8%,37.9%,48.0%,27.9%,"1,225.04","1,196.14","1,210.85"
7-26-01,29.5%,32.4%,38.1%,100%,35.29%,-8.6%,37.9%,48.0%,27.9%,"1,215.22","1,165.54","1,205.82"
8-2-01,36.4%,27.3%,36.4%,100%,34.51%,0.0%,37.9%,48.0%,27.9%,"1,226.27","1,200.41","1,214.35"
8-9-01,34.9%,37.4%,27.7%,100%,35.07%,7.2%,37.9%,48.0%,27.9%,"1,214.35","1,169.55","1,190.16"
8-16-01,35.4%,27.1%,37.5%,100%,35.33%,-2.1%,37.9%,48.0%,27.9%,"1,198.79","1,156.07","1,161.97"
8-23-01,34.5%,34.5%,31.0%,100%,35.84%,3.5%,37.9%,48.0%,27.9%,"1,185.15","1,153.34","1,184.93"
8-30-01,31.4%,45.7%,22.9%,100%,34.68%,8.6%,37.9%,48.0%,27.9%,"1,186.85","1,124.87","1,133.58"
9-6-01,30.3%,36.0%,33.7%,100%,35.31%,-3.4%,37.9%,48.0%,27.9%,"1,155.40","1,082.12","1,085.78"
9-13-01,26.7%,36.7%,36.7%,100%,32.40%,-10.0%,37.9%,48.0%,27.9%,"1,092.54","1,073.15","1,092.54"
9-20-01,31.1%,24.3%,44.6%,100%,32.59%,-13.5%,37.9%,48.0%,27.9%,"1,092.54",944.75,965.80
9-27-01,51.1%,26.7%,22.2%,100%,34.43%,28.9%,37.9%,48.0%,27.9%,"1,040.94",965.80,"1,040.94"
10-4-01,51.2%,19.5%,29.3%,100%,36.47%,22.0%,37.9%,48.0%,27.9%,"1,084.12","1,026.76","1,071.38"
10-11-01,47.4%,24.6%,28.1%,100%,37.96%,19.3%,37.9%,48.0%,27.9%,"1,099.16","1,052.76","1,091.65"
10-18-01,60.6%,18.3%,21.1%,100%,41.22%,39.4%,37.9%,48.0%,27.9%,"1,107.12","1,057.24","1,073.48"
10-25-01,55.9%,26.5%,17.7%,100%,44.28%,38.2%,37.9%,48.0%,27.9%,"1,110.61","1,065.64","1,104.61"
11-1-01,35.0%,31.7%,33.3%,100%,44.86%,1.7%,37.9%,48.0%,27.9%,"1,104.61","1,053.61","1,087.20"
11-8-01,34.6%,23.1%,42.3%,100%,45.86%,-7.7%,37.9%,48.0%,27.9%,"1,135.75","1,087.20","1,120.31"
11-15-01,45.5%,21.2%,33.3%,100%,47.65%,12.1%,37.9%,48.0%,27.9%,"1,148.28","1,098.32","1,138.65"
11-22-01,58.3%,16.7%,25.0%,100%,48.55%,33.3%,37.9%,48.0%,27.9%,"1,152.45","1,129.78","1,150.34"
11-29-01,69.3%,10.7%,20.0%,100%,50.82%,49.3%,37.9%,48.0%,27.9%,"1,163.38","1,125.51","1,139.45"
12-6-01,59.2%,16.3%,24.5%,100%,52.29%,34.7%,37.9%,48.0%,27.9%,"1,173.62","1,125.78","1,158.31"
12-13-01,61.4%,24.6%,14.0%,100%,52.40%,47.4%,37.9%,48.0%,27.9%,"1,158.31","1,114.53","1,123.09"
12-20-01,52.5%,21.3%,26.2%,100%,51.97%,26.2%,37.9%,48.0%,27.9%,"1,152.44","1,122.66","1,144.89"
12-27-01,57.7%,15.4%,26.9%,100%,54.81%,30.8%,37.9%,48.0%,27.9%,"1,164.64","1,144.62","1,161.02"
1-3-02,51.1%,24.4%,24.4%,100%,56.87%,26.7%,37.9%,48.0%,27.9%,"1,176.55","1,136.23","1,172.51"
1-10-02,54.8%,23.3%,21.9%,100%,58.04%,32.9%,37.9%,48.0%,27.9%,"1,176.97","1,145.45","1,145.60"
1-17-02,29.6%,40.9%,29.6%,100%,54.44%,0.0%,37.9%,48.0%,27.9%,"1,148.81","1,124.45","1,127.58"
1-24-02,34.7%,34.7%,30.6%,100%,50.11%,4.1%,37.9%,48.0%,27.9%,"1,139.50","1,117.43","1,133.28"
1-31-02,45.5%,31.8%,22.7%,100%,48.39%,22.7%,37.9%,48.0%,27.9%,"1,138.63","1,081.66","1,122.20"
2-7-02,37.5%,39.6%,22.9%,100%,45.41%,14.6%,37.9%,48.0%,27.9%,"1,122.20","1,077.78","1,096.22"
2-14-02,45.2%,38.7%,16.1%,100%,44.49%,29.0%,37.9%,48.0%,27.9%,"1,124.72","1,094.68","1,104.18"
2-21-02,36.4%,38.2%,25.5%,100%,41.83%,10.9%,37.9%,48.0%,27.9%,"1,104.18","1,074.36","1,089.84"
2-28-02,44.4%,35.2%,20.4%,100%,40.99%,24.1%,37.9%,48.0%,27.9%,"1,131.79","1,089.84","1,131.78"
3-7-02,53.3%,31.1%,15.6%,100%,40.81%,37.8%,37.9%,48.0%,27.9%,"1,172.76","1,130.93","1,164.31"
3-14-02,56.5%,29.0%,14.5%,100%,44.17%,41.9%,37.9%,48.0%,27.9%,"1,173.03","1,151.01","1,154.09"
3-21-02,53.2%,35.5%,11.3%,100%,46.49%,41.9%,37.9%,48.0%,27.9%,"1,173.94","1,151.61","1,151.85"
3-28-02,51.2%,25.6%,23.3%,100%,47.20%,27.9%,37.9%,48.0%,27.9%,"1,151.04","1,131.61","1,144.58"
4-4-02,40.5%,39.3%,20.2%,100%,47.58%,20.2%,37.9%,48.0%,27.9%,"1,147.84","1,119.68","1,125.40"
4-11-02,28.2%,38.5%,33.3%,100%,45.46%,-5.1%,37.9%,48.0%,27.9%,"1,131.76","1,111.79","1,130.47"
4-18-02,40.2%,36.6%,23.2%,100%,45.94%,17.0%,37.9%,48.0%,27.9%,"1,133.00","1,099.41","1,126.07"
4-25-02,36.7%,40.0%,23.3%,100%,44.97%,13.3%,37.9%,48.0%,27.9%,"1,125.17","1,092.51","1,093.14"
5-2-02,27.0%,39.6%,33.3%,100%,41.68%,-6.3%,37.9%,48.0%,27.9%,"1,088.32","1,063.46","1,086.46"
5-9-02,30.3%,29.0%,40.8%,100%,38.41%,-10.5%,37.9%,48.0%,27.9%,"1,088.92","1,048.96","1,088.85"
5-16-02,36.8%,34.9%,28.3%,100%,36.35%,8.5%,37.9%,48.0%,27.9%,"1,104.23","1,053.90","1,091.07"
5-23-02,26.2%,33.3%,40.5%,100%,33.23%,-14.3%,37.9%,48.0%,27.9%,"1,106.59","1,075.64","1,086.02"
5-29-02,28.3%,31.5%,40.2%,100%,31.70%,-12.0%,37.9%,48.0%,27.9%,"1,085.98","1,067.66","1,067.66"
6-6-02,32.8%,27.9%,39.3%,100%,32.27%,-6.6%,37.9%,48.0%,27.9%,"1,070.74","1,030.52","1,049.90"
6-13-02,31.8%,34.6%,33.6%,100%,31.23%,-1.8%,37.9%,48.0%,27.9%,"1,039.04","1,002.58","1,020.26"
6-20-02,45.7%,28.6%,25.7%,100%,32.36%,20.0%,37.9%,48.0%,27.9%,"1,040.83","1,007.27","1,019.99"
6-27-02,31.0%,23.0%,46.0%,100%,32.85%,-15.1%,37.9%,48.0%,27.9%,"1,005.88",952.92,973.53
7-3-02,26.6%,26.6%,46.9%,100%,32.39%,-20.3%,37.9%,48.0%,27.9%,994.46,934.87,989.03
7-11-02,35.1%,22.7%,42.3%,100%,32.17%,-7.2%,37.9%,48.0%,27.9%,993.56,920.29,920.47
7-18-02,26.3%,20.0%,53.8%,100%,32.18%,-27.5%,37.9%,48.0%,27.9%,926.52,876.46,906.04
